OLD,NEW
Freezing drizzle,FROST/FREEZE
FREEZING DRIZZLE AND FREEZING,FROST/FREEZE
Freezing Spray,FROST/FREEZE
FROST,FROST/FREEZE
Frost,FROST/FREEZE
Frost/Freeze,FROST/FREEZE
FROST/FREEZE,FROST/FREEZE
FROST\FREEZE,FROST/FREEZE
HARD FREEZE,FROST/FREEZE
LATE FREEZE,FROST/FREEZE
RECORD COLD/FROST,FROST/FREEZE
UNSEASONABLY COOL,FROST/FREEZE
COLD AIR FUNNEL,FUNNEL CLOUD
COLD AIR FUNNELS,FUNNEL CLOUD
FUNNEL,FUNNEL CLOUD
FUNNEL CLOUD,FUNNEL CLOUD
Funnel Cloud,FUNNEL CLOUD
FUNNEL CLOUD.,FUNNEL CLOUD
FUNNEL CLOUD/HAIL,FUNNEL CLOUD
FUNNEL CLOUDS,FUNNEL CLOUD
FUNNELS,FUNNEL CLOUD
THUNDERSTORM WINDS FUNNEL CLOU,FUNNEL CLOUD
THUNDERSTORM WINDS/FUNNEL CLOU,FUNNEL CLOUD
WALL CLOUD/FUNNEL CLOUD,FUNNEL CLOUD
WATERSPOUT FUNNEL CLOUD,FUNNEL CLOUD
GUSTNADO,GUSTNADO
GUSTNADO AND,GUSTNADO
DEEP HAIL,HAIL
GUSTY WIND/HAIL,HAIL
HAIL,HAIL
HAIL 0.75,HAIL
HAIL 0.88,HAIL
HAIL 075,HAIL
HAIL 088,HAIL
HAIL 1.00,HAIL
HAIL 1.75,HAIL
HAIL 1.75),HAIL
HAIL 100,HAIL
HAIL 125,HAIL
HAIL 150,HAIL
HAIL 175,HAIL
HAIL 200,HAIL
HAIL 225,HAIL
HAIL 275,HAIL
HAIL 450,HAIL
HAIL 75,HAIL
HAIL 80,HAIL
HAIL 88,HAIL
HAIL ALOFT,HAIL
HAIL DAMAGE,HAIL
HAIL STORM,HAIL
Hail(0.75),HAIL
HAIL/ICY ROADS,HAIL
HAIL/WIND,HAIL
HAIL/WINDS,HAIL
HAILSTORM,HAIL
HAILSTORMS,HAIL
LATE SEASON HAIL,HAIL
MARINE HAIL,HAIL
NON SEVERE HAIL,HAIL
SMALL HAIL,HAIL
small hail,HAIL
Small Hail,HAIL
THUNDERSTORM HAIL,HAIL
WIND/HAIL,HAIL
ABNORMAL WARMTH,HEAT
DRIEST MONTH,HEAT
EXCESSIVE HEAT,HEAT
EXTREME HEAT,HEAT
HEAT,HEAT
HEAT WAVE,HEAT
Heat Wave,HEAT
HEAT WAVES,HEAT
Heatburst,HEAT
PROLONG WARMTH,HEAT
RECORD HEAT,HEAT
Record Heat,HEAT
RECORD HEAT WAVE,HEAT
RECORD WARM,HEAT
RECORD WARM TEMPS.,HEAT
RECORD WARMTH,HEAT
Record Warmth,HEAT
RECORD/EXCESSIVE HEAT,HEAT
UNSEASONABLY WARM,HEAT
UNSEASONABLY WARM & WET,HEAT
UNSEASONABLY WARM YEAR,HEAT
UNSEASONABLY WARM/WET,HEAT
UNUSUAL WARMTH,HEAT
UNUSUAL/RECORD WARMTH,HEAT
UNUSUALLY WARM,HEAT
VERY WARM,HEAT
WARM WEATHER,HEAT
DRY HOT WEATHER,HOT
Hot and Dry,HOT
HOT PATTERN,HOT
HOT SPELL,HOT
HOT WEATHER,HOT
HOT/DRY PATTERN,HOT
UNSEASONABLY HOT,HOT
HURRICANE,HURRICANE
Hurricane Edouard,HURRICANE
HURRICANE EMILY,HURRICANE
HURRICANE ERIN,HURRICANE
HURRICANE FELIX,HURRICANE
HURRICANE GORDON,HURRICANE
HURRICANE OPAL,HURRICANE
HURRICANE/TYPHOON,HURRICANE
HURRICANE-GENERATED SWELLS,HURRICANE
HYPERTHERMIA/EXPOSURE,HYPOTHERMIA
HYPOTHERMIA,HYPOTHERMIA
Hypothermia/Exposure,HYPOTHERMIA
HYPOTHERMIA/EXPOSURE,HYPOTHERMIA
Black Ice,ICE
BLACK ICE,ICE
GLAZE ICE,ICE
GLAZE/ICE STORM,ICE
ICE,ICE
ICE FLOES,ICE
ICE JAM,ICE
ICE ON ROAD,ICE
ICE PELLETS,ICE
ICE ROADS,ICE
ICE STORM,ICE
ICE/STRONG WINDS,ICE
Icestorm/Blizzard,ICE
ICY ROADS,ICE
Icy Roads,ICE
PATCHY ICE,ICE
SLEET/ICE STORM,ICE
 LIGHTNING,LIGHTNING
HEAVY RAIN/LIGHTNING,LIGHTNING
LIGHTING,LIGHTNING
LIGHTNING,LIGHTNING
LIGHTNING  WAUSEON,LIGHTNING
LIGHTNING AND HEAVY RAIN,LIGHTNING
LIGHTNING AND WINDS,LIGHTNING
LIGHTNING DAMAGE,LIGHTNING
LIGHTNING INJURY,LIGHTNING
LIGHTNING.,LIGHTNING
LIGHTNING/HEAVY RAIN,LIGHTNING
LIGNTNING,LIGHTNING
DOWNBURST,MICROBURST
DRY MICROBURST,MICROBURST
DRY MICROBURST 50,MICROBURST
DRY MICROBURST 53,MICROBURST
DRY MICROBURST 58,MICROBURST
DRY MICROBURST 61,MICROBURST
DRY MICROBURST 84,MICROBURST
DRY MICROBURST WINDS,MICROBURST
MICROBURST,MICROBURST
Microburst,MICROBURST
MICROBURST WINDS,MICROBURST
wet micoburst,MICROBURST
WET MICROBURST,MICROBURST
AVALANCHE,MUD/LANDSLIDE
LANDSLIDE,MUD/LANDSLIDE
LANDSLIDES,MUD/LANDSLIDE
Landslump,MUD/LANDSLIDE
LANDSLUMP,MUD/LANDSLIDE
LANDSPOUT,MUD/LANDSLIDE
MUD SLIDE,MUD/LANDSLIDE
MUD SLIDES,MUD/LANDSLIDE
MUD/ROCK SLIDE,MUD/LANDSLIDE
MUDSLIDE,MUD/LANDSLIDE
Mudslide,MUD/LANDSLIDE
MUDSLIDE/LANDSLIDE,MUD/LANDSLIDE
MUDSLIDES,MUD/LANDSLIDE
Mudslides,MUD/LANDSLIDE
ROCK SLIDE,MUD/LANDSLIDE
?,OTHER
APACHE COUNTY,OTHER
AVALANCE,OTHER
DROWNING,OTHER
EXCESSIVE,OTHER
EXCESSIVE WETNESS,OTHER
EXTREMELY WET,OTHER
GLAZE,OTHER
Glaze,OTHER
HIGH,OTHER
MILD PATTERN,OTHER
No Severe Weather,OTHER
NONE,OTHER
NORTHERN LIGHTS,OTHER
OTHER,OTHER
Other,OTHER
RAPIDLY RISING WATER,OTHER
RED FLAG CRITERIA,OTHER
REMNANTS OF FLOYD,OTHER
SEICHE,OTHER
SEVERE TURBULENCE,OTHER
SOUTHEAST,OTHER
ABNORMALLY WET,PRECIPITATION
BELOW NORMAL PRECIPITATION,PRECIPITATION
EXCESSIVE PRECIPITATION,PRECIPITATION
HEAVY PRECIPATATION,PRECIPITATION
HEAVY PRECIPITATION,PRECIPITATION
Heavy Precipitation,PRECIPITATION
HEAVY SHOWER,PRECIPITATION
HEAVY SHOWERS,PRECIPITATION
MIXED PRECIP,PRECIPITATION
Mixed Precipitation,PRECIPITATION
MIXED PRECIPITATION,PRECIPITATION
MONTHLY PRECIPITATION,PRECIPITATION
NORMAL PRECIPITATION,PRECIPITATION
RECORD PRECIPITATION,PRECIPITATION
UNSEASONABLY WET,PRECIPITATION
Wet Month,PRECIPITATION
WET WEATHER,PRECIPITATION
Wet Year,PRECIPITATION
BLIZZARD/FREEZING RAIN,RAIN
EARLY RAIN,RAIN
EXCESSIVE RAIN,RAIN
EXCESSIVE RAINFALL,RAIN
FREEZING RAIN,RAIN
Freezing Rain,RAIN
Freezing rain,RAIN
FREEZING RAIN AND SLEET,RAIN
FREEZING RAIN SLEET AND,RAIN
FREEZING RAIN SLEET AND LIGHT,RAIN
FREEZING RAIN/SLEET,RAIN
GUSTY WIND/HVY RAIN,RAIN
Gusty wind/rain,RAIN
HEAVY RAIN,RAIN
Heavy Rain,RAIN
Heavy rain,RAIN
Heavy Rain and Wind,RAIN
HEAVY RAIN EFFECTS,RAIN
HEAVY RAIN/SEVERE WEATHER,RAIN
HEAVY RAIN/SMALL STREAM URBAN,RAIN
HEAVY RAIN/WIND,RAIN
HEAVY RAINFALL,RAIN
HEAVY RAINS,RAIN
HIGH WINDS HEAVY RAINS,RAIN
HIGH WINDS/HEAVY RAIN,RAIN
HVY RAIN,RAIN
LIGHT FREEZING RAIN,RAIN
LOCALLY HEAVY RAIN,RAIN
Monthly Rainfall,RAIN
MONTHLY RAINFALL,RAIN
PROLONGED RAIN,RAIN
RAIN,RAIN
RAIN (HEAVY),RAIN
RAIN AND WIND,RAIN
Rain Damage,RAIN
RAIN/WIND,RAIN
RAINSTORM,RAIN
RECORD LOW RAINFALL,RAIN
RECORD RAINFALL,RAIN
RECORD/EXCESSIVE RAINFALL,RAIN
SLEET & FREEZING RAIN,RAIN
SLEET/FREEZING RAIN,RAIN
TORRENTIAL RAIN,RAIN
Torrential Rainfall,RAIN
UNSEASONAL RAIN,RAIN
COOL AND WET,RECORD TEMPERATURES
COOL SPELL,RECORD TEMPERATURES
HIGH TEMPERATURE RECORD,RECORD TEMPERATURES
LOW TEMPERATURE,RECORD TEMPERATURES
LOW TEMPERATURE RECORD,RECORD TEMPERATURES
MONTHLY TEMPERATURE,RECORD TEMPERATURES
RECORD  COLD,RECORD TEMPERATURES
RECORD COOL,RECORD TEMPERATURES
RECORD HIGH,RECORD TEMPERATURES
Record High,RECORD TEMPERATURES
RECORD HIGH TEMPERATURE,RECORD TEMPERATURES
RECORD HIGH TEMPERATURES,RECORD TEMPERATURES
RECORD LOW,RECORD TEMPERATURES
Record temperature,RECORD TEMPERATURES
RECORD TEMPERATURE,RECORD TEMPERATURES
RECORD TEMPERATURES,RECORD TEMPERATURES
Record Temperatures,RECORD TEMPERATURES
Temperature record,RECORD TEMPERATURES
UNSEASONABLY COOL & WET,RECORD TEMPERATURES
UNSEASONAL LOW TEMP,RECORD TEMPERATURES
RIP CURRENT,RIP CURRENT
RIP CURRENTS,RIP CURRENT
HEAVY SEAS,SEAS/WAVES/MARINE ACCIDENT
HIGH SEAS,SEAS/WAVES/MARINE ACCIDENT
HIGH WATER,SEAS/WAVES/MARINE ACCIDENT
HIGH WAVES,SEAS/WAVES/MARINE ACCIDENT
Marine Accident,SEAS/WAVES/MARINE ACCIDENT
MARINE MISHAP,SEAS/WAVES/MARINE ACCIDENT
ROGUE WAVE,SEAS/WAVES/MARINE ACCIDENT
ROUGH SEAS,SEAS/WAVES/MARINE ACCIDENT
DENSE SMOKE,SMOKE
SMOKE,SMOKE
ACCUMULATED SNOWFALL,SNOW
BLIZZARD,SNOW
BLIZZARD AND HEAVY SNOW,SNOW
BLIZZARD WEATHER,SNOW
BLIZZARD/HEAVY SNOW,SNOW
BLOWING SNOW,SNOW
blowing snow,SNOW
Blowing Snow,SNOW
BLOWING SNOW & EXTREME WIND CH,SNOW
BLOWING SNOW- EXTREME WIND CHI,SNOW
BLOWING SNOW/EXTREME WIND CHIL,SNOW
COLD AND SNOW,SNOW
Drifting Snow,SNOW
EARLY SNOW,SNOW
Early snowfall,SNOW
EARLY SNOWFALL,SNOW
EXCESSIVE SNOW,SNOW
FALLING SNOW/ICE,SNOW
FIRST SNOW,SNOW
FREEZING RAIN AND SNOW,SNOW
FREEZING RAIN/SNOW,SNOW
GROUND BLIZZARD,SNOW
HEAVY LAKE SNOW,SNOW
HEAVY RAIN/SNOW,SNOW
HEAVY SNOW,SNOW
HEAVY SNOW   FREEZING RAIN,SNOW
HEAVY SNOW & ICE,SNOW
HEAVY SNOW AND,SNOW
HEAVY SNOW AND HIGH WINDS,SNOW
HEAVY SNOW AND ICE,SNOW
HEAVY SNOW AND ICE STORM,SNOW
HEAVY SNOW AND STRONG WINDS,SNOW
HEAVY SNOW ANDBLOWING SNOW,SNOW
Heavy snow shower,SNOW
HEAVY SNOW SQUALLS,SNOW
HEAVY SNOW/BLIZZARD,SNOW
HEAVY SNOW/BLIZZARD/AVALANCHE,SNOW
HEAVY SNOW/BLOWING SNOW,SNOW
HEAVY SNOW/FREEZING RAIN,SNOW
HEAVY SNOW/HIGH,SNOW
HEAVY SNOW/HIGH WIND,SNOW
HEAVY SNOW/HIGH WINDS,SNOW
HEAVY SNOW/HIGH WINDS/FREEZING,SNOW
HEAVY SNOW/ICE,SNOW
HEAVY SNOW/ICE STORM,SNOW
HEAVY SNOW/SLEET,SNOW
HEAVY SNOW/SQUALLS,SNOW
HEAVY SNOW/WIND,SNOW
HEAVY SNOWPACK,SNOW
HEAVY SNOW-SQUALLS,SNOW
HEAVY WET SNOW,SNOW
HIGH WIND AND HEAVY SNOW,SNOW
HIGH WIND/HEAVY SNOW,SNOW
HIGH WINDS/SNOW,SNOW
ICE AND SNOW,SNOW
ICE STORM AND SNOW,SNOW
ICE/SNOW,SNOW
Ice/Snow,SNOW
LACK OF SNOW,SNOW
LAKE EFFECT SNOW,SNOW
Lake Effect Snow,SNOW
LAKE-EFFECT SNOW,SNOW
LATE SEASON SNOW,SNOW
Late Season Snowfall,SNOW
LATE SNOW,SNOW
Late-season Snowfall,SNOW
LIGHT SNOW,SNOW
Light snow,SNOW
Light Snow,SNOW
LIGHT SNOW AND SLEET,SNOW
Light Snow/Flurries,SNOW
LIGHT SNOW/FREEZING PRECIP,SNOW
Light Snowfall,SNOW
MODERATE SNOW,SNOW
MODERATE SNOWFALL,SNOW
Monthly Snowfall,SNOW
MONTHLY SNOWFALL,SNOW
Mountain Snows,SNOW
NEAR RECORD SNOW,SNOW
PROLONG COLD/SNOW,SNOW
RAIN/SNOW,SNOW
Record May Snow,SNOW
RECORD SNOW,SNOW
RECORD SNOW/COLD,SNOW
RECORD SNOWFALL,SNOW
Seasonal Snowfall,SNOW
SLEET STORM,SNOW
SLEET/RAIN/SNOW,SNOW
SLEET/SNOW,SNOW
SNOW,SNOW
Snow,SNOW
SNOW ACCUMULATION,SNOW
Snow Accumulation,SNOW
SNOW ADVISORY,SNOW
SNOW AND COLD,SNOW
SNOW AND HEAVY SNOW,SNOW
SNOW AND ICE,SNOW
Snow and Ice,SNOW
SNOW AND ICE STORM,SNOW
Snow and sleet,SNOW
SNOW AND SLEET,SNOW
SNOW AND WIND,SNOW
SNOW FREEZING RAIN,SNOW
SNOW- HIGH WIND- WIND CHILL,SNOW
SNOW SHOWERS,SNOW
SNOW SLEET,SNOW
SNOW SQUALL,SNOW
SNOW SQUALLS,SNOW
Snow Squalls,SNOW
Snow squalls,SNOW
SNOW/ BITTER COLD,SNOW
SNOW/ ICE,SNOW
SNOW/BLOWING SNOW,SNOW
SNOW/COLD,SNOW
SNOW/FREEZING RAIN,SNOW
SNOW/HEAVY SNOW,SNOW
SNOW/HIGH WINDS,SNOW
SNOW/ICE,SNOW
SNOW/ICE STORM,SNOW
SNOW/RAIN,SNOW
SNOW/RAIN/SLEET,SNOW
SNOW/SLEET,SNOW
SNOW/SLEET/FREEZING RAIN,SNOW
SNOW/SLEET/RAIN,SNOW
SNOW\COLD,SNOW
SNOWFALL RECORD,SNOW
SNOWSTORM,SNOW
THUNDERSNOW,SNOW
Thundersnow shower,SNOW
UNUSUALLY LATE SNOW,SNOW
WET SNOW,SNOW
STORM SURGE,STORM
TROPICAL STORM,STORM
Blizzard Summary,SUMMARY
Summary August 10,SUMMARY
Summary August 11,SUMMARY
Summary August 17,SUMMARY
Summary August 21,SUMMARY
Summary August 2-3,SUMMARY
Summary August 28,SUMMARY
Summary August 4,SUMMARY
Summary August 7,SUMMARY
Summary August 9,SUMMARY
Summary Jan 17,SUMMARY
Summary July 23-24,SUMMARY
Summary June 18-19,SUMMARY
Summary June 5-6,SUMMARY
Summary June 6,SUMMARY
Summary of April 12,SUMMARY
Summary of April 13,SUMMARY
Summary of April 21,SUMMARY
Summary of April 27,SUMMARY
Summary of April 3rd,SUMMARY
Summary of August 1,SUMMARY
Summary of July 11,SUMMARY
Summary of July 2,SUMMARY
Summary of July 22,SUMMARY
Summary of July 26,SUMMARY
Summary of July 29,SUMMARY
Summary of July 3,SUMMARY
Summary of June 10,SUMMARY
Summary of June 11,SUMMARY
Summary of June 12,SUMMARY
Summary of June 13,SUMMARY
Summary of June 15,SUMMARY
Summary of June 16,SUMMARY
Summary of June 18,SUMMARY
Summary of June 23,SUMMARY
Summary of June 24,SUMMARY
Summary of June 3,SUMMARY
Summary of June 30,SUMMARY
Summary of June 4,SUMMARY
Summary of June 6,SUMMARY
Summary of March 14,SUMMARY
Summary of March 23,SUMMARY
Summary of March 24,SUMMARY
SUMMARY OF MARCH 24-25,SUMMARY
SUMMARY OF MARCH 27,SUMMARY
SUMMARY OF MARCH 29,SUMMARY
Summary of May 10,SUMMARY
Summary of May 13,SUMMARY
Summary of May 14,SUMMARY
Summary of May 22,SUMMARY
Summary of May 22 am,SUMMARY
Summary of May 22 pm,SUMMARY
Summary of May 26 am,SUMMARY
Summary of May 26 pm,SUMMARY
Summary of May 31 am,SUMMARY
Summary of May 31 pm,SUMMARY
Summary of May 9-10,SUMMARY
Summary Sept. 25-26,SUMMARY
Summary September 20,SUMMARY
Summary September 23,SUMMARY
Summary September 3,SUMMARY
Summary September 4,SUMMARY
Summary: Nov. 16,SUMMARY
Summary: Nov. 6-7,SUMMARY
Summary: Oct. 20-21,SUMMARY
Summary: October 31,SUMMARY
Summary: Sept. 18,SUMMARY
   HIGH SURF ADVISORY,SURF
ASTRONOMICAL LOW TIDE,SURF
HAZARDOUS SURF,SURF
Heavy Rain/High Surf,SURF
HEAVY SURF,SURF
Heavy Surf,SURF
Heavy surf and wind,SURF
HEAVY SURF COASTAL FLOODING,SURF
HEAVY SURF/HIGH SURF,SURF
HIGH SURF,SURF
High Surf,SURF
HIGH SURF ADVISORIES,SURF
HIGH SURF ADVISORY,SURF
RIP CURRENTS HEAVY SURF,SURF
RIP CURRENTS/HEAVY SURF,SURF
ROUGH SURF,SURF
STORM SURGE/TIDE,SURF
HEAVY SWELLS,SWELLS
HIGH  SWELLS,SWELLS
HIGH SWELLS,SWELLS
SEVERE THUNDERSTORM,THUDERSTORM
SEVERE THUNDERSTORMS,THUDERSTORM
THUNDERSTORM,THUDERSTORM
 TSTM WIND,THUNDERSTORMS
 TSTM WIND (G45),THUNDERSTORMS
GUSTY THUNDERSTORM WIND,THUNDERSTORMS
GUSTY THUNDERSTORM WINDS,THUNDERSTORMS
LIGHTNING AND THUNDERSTORM WIN,THUNDERSTORMS
LIGHTNING THUNDERSTORM WINDS,THUNDERSTORMS
LIGHTNING THUNDERSTORM WINDSS,THUNDERSTORMS
MARINE THUNDERSTORM WIND,THUNDERSTORMS
MARINE TSTM WIND,THUNDERSTORMS
"Metro Storm, May 26",THUNDERSTORMS
NON TSTM WIND,THUNDERSTORMS
NON-TSTM WIND,THUNDERSTORMS
SEVERE THUNDERSTORM WINDS,THUNDERSTORMS
THUNDERSTORM  WINDS,THUNDERSTORMS
THUNDERSTORM DAMAGE,THUNDERSTORMS
THUNDERSTORM DAMAGE TO,THUNDERSTORMS
THUNDERSTORM W INDS,THUNDERSTORMS
THUNDERSTORM WIND,THUNDERSTORMS
Thunderstorm Wind,THUNDERSTORMS
THUNDERSTORM WIND (G40),THUNDERSTORMS
THUNDERSTORM WIND 50,THUNDERSTORMS
THUNDERSTORM WIND 52,THUNDERSTORMS
THUNDERSTORM WIND 56,THUNDERSTORMS
THUNDERSTORM WIND 59,THUNDERSTORMS
THUNDERSTORM WIND 59 MPH,THUNDERSTORMS
THUNDERSTORM WIND 59 MPH.,THUNDERSTORMS
THUNDERSTORM WIND 60 MPH,THUNDERSTORMS
THUNDERSTORM WIND 65 MPH,THUNDERSTORMS
THUNDERSTORM WIND 65MPH,THUNDERSTORMS
THUNDERSTORM WIND 69,THUNDERSTORMS
THUNDERSTORM WIND 98 MPH,THUNDERSTORMS
THUNDERSTORM WIND G50,THUNDERSTORMS
THUNDERSTORM WIND G51,THUNDERSTORMS
